Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,103,8,Some Random Commen with Id 0
1,0,5,120,2,Some Random Commen with Id 1
2,0,5,50,5,Some Random Commen with Id 2
3,0,5,5,7,Some Random Commen with Id 3
4,0,5,163,4,Some Random Commen with Id 4
5,0,5,13,2,Some Random Commen with Id 5
6,0,5,25,5,Some Random Commen with Id 6
7,1,6,10,0,Some Random Commen with Id 7
8,1,6,11,6,Some Random Commen with Id 8
9,1,6,81,1,Some Random Commen with Id 9
10,2,6,36,1,Some Random Commen with Id 10
11,3,9,18,7,Some Random Commen with Id 11
12,3,9,42,4,Some Random Commen with Id 12
13,3,9,178,0,Some Random Commen with Id 13
14,3,9,80,0,Some Random Commen with Id 14
15,3,9,14,4,Some Random Commen with Id 15
16,3,9,109,5,Some Random Commen with Id 16
17,3,9,175,2,Some Random Commen with Id 17
18,3,9,152,2,Some Random Commen with Id 18
19,3,9,25,1,Some Random Commen with Id 19
20,4,0,95,5,Some Random Commen with Id 20
21,4,0,114,7,Some Random Commen with Id 21
22,4,0,26,4,Some Random Commen with Id 22
23,4,0,116,3,Some Random Commen with Id 23
24,4,0,154,2,Some Random Commen with Id 24
25,4,0,29,8,Some Random Commen with Id 25
26,4,0,71,1,Some Random Commen with Id 26
27,4,0,132,8,Some Random Commen with Id 27
28,4,0,161,7,Some Random Commen with Id 28
29,5,3,148,0,Some Random Commen with Id 29
30,5,3,139,7,Some Random Commen with Id 30
31,5,3,184,8,Some Random Commen with Id 31
32,5,3,90,1,Some Random Commen with Id 32
33,5,3,164,7,Some Random Commen with Id 33
34,5,3,6,1,Some Random Commen with Id 34
35,6,4,41,0,Some Random Commen with Id 35
36,6,4,182,7,Some Random Commen with Id 36
37,6,4,47,2,Some Random Commen with Id 37
38,6,4,168,9,Some Random Commen with Id 38
39,6,4,123,0,Some Random Commen with Id 39
40,6,4,129,9,Some Random Commen with Id 40
41,6,4,182,7,Some Random Commen with Id 41
42,6,4,178,6,Some Random Commen with Id 42
43,6,4,167,3,Some Random Commen with Id 43
44,7,3,60,7,Some Random Commen with Id 44
45,8,3,134,0,Some Random Commen with Id 45
46,10,9,24,9,Some Random Commen with Id 46
47,10,9,172,1,Some Random Commen with Id 47
48,10,9,65,1,Some Random Commen with Id 48
49,11,9,9,8,Some Random Commen with Id 49
50,11,9,79,8,Some Random Commen with Id 50
51,11,9,10,0,Some Random Commen with Id 51
52,11,9,191,9,Some Random Commen with Id 52
53,11,9,143,0,Some Random Commen with Id 53
54,11,9,182,5,Some Random Commen with Id 54
55,12,2,35,1,Some Random Commen with Id 55
56,12,2,20,8,Some Random Commen with Id 56
57,12,2,194,4,Some Random Commen with Id 57
58,12,2,25,8,Some Random Commen with Id 58
59,12,2,183,6,Some Random Commen with Id 59
60,12,2,141,9,Some Random Commen with Id 60
61,12,2,167,4,Some Random Commen with Id 61
62,13,4,167,1,Some Random Commen with Id 62
63,13,4,171,4,Some Random Commen with Id 63
64,13,4,140,7,Some Random Commen with Id 64
65,13,4,80,9,Some Random Commen with Id 65
66,13,4,152,0,Some Random Commen with Id 66
67,15,8,77,0,Some Random Commen with Id 67
68,16,7,38,7,Some Random Commen with Id 68
69,16,7,169,8,Some Random Commen with Id 69
70,17,4,143,1,Some Random Commen with Id 70
71,17,4,125,3,Some Random Commen with Id 71
72,17,4,14,0,Some Random Commen with Id 72
73,17,4,149,9,Some Random Commen with Id 73
74,17,4,11,2,Some Random Commen with Id 74
75,17,4,16,3,Some Random Commen with Id 75
76,17,4,21,5,Some Random Commen with Id 76
77,17,4,103,3,Some Random Commen with Id 77
78,18,0,79,2,Some Random Commen with Id 78
79,18,0,13,8,Some Random Commen with Id 79
80,18,0,104,0,Some Random Commen with Id 80
81,18,0,134,0,Some Random Commen with Id 81
82,18,0,183,4,Some Random Commen with Id 82
83,18,0,22,1,Some Random Commen with Id 83
84,19,0,111,0,Some Random Commen with Id 84
85,19,0,188,5,Some Random Commen with Id 85
86,19,0,133,1,Some Random Commen with Id 86
87,19,0,71,8,Some Random Commen with Id 87
88,19,0,56,3,Some Random Commen with Id 88
89,19,0,4,5,Some Random Commen with Id 89
90,19,0,152,7,Some Random Commen with Id 90
91,19,0,73,0,Some Random Commen with Id 91
92,19,0,129,9,Some Random Commen with Id 92
93,20,3,13,2,Some Random Commen with Id 93
94,20,3,25,3,Some Random Commen with Id 94
95,20,3,80,6,Some Random Commen with Id 95
96,20,3,89,9,Some Random Commen with Id 96
97,21,5,184,7,Some Random Commen with Id 97
98,21,5,2,4,Some Random Commen with Id 98
99,21,5,29,1,Some Random Commen with Id 99
100,21,5,73,2,Some Random Commen with Id 100
101,21,5,183,5,Some Random Commen with Id 101
102,21,5,82,4,Some Random Commen with Id 102
103,22,9,32,8,Some Random Commen with Id 103
104,22,9,28,0,Some Random Commen with Id 104
105,22,9,191,6,Some Random Commen with Id 105
106,22,9,67,9,Some Random Commen with Id 106
107,22,9,156,2,Some Random Commen with Id 107
108,23,2,10,7,Some Random Commen with Id 108
109,23,2,17,5,Some Random Commen with Id 109
110,23,2,63,1,Some Random Commen with Id 110
111,23,2,77,1,Some Random Commen with Id 111
112,23,2,157,0,Some Random Commen with Id 112
113,23,2,61,0,Some Random Commen with Id 113
114,23,2,172,6,Some Random Commen with Id 114
115,23,2,123,4,Some Random Commen with Id 115
116,23,2,116,1,Some Random Commen with Id 116
117,24,7,177,8,Some Random Commen with Id 117
118,24,7,83,6,Some Random Commen with Id 118
119,24,7,31,9,Some Random Commen with Id 119
120,24,7,20,7,Some Random Commen with Id 120
121,24,7,125,9,Some Random Commen with Id 121
122,24,7,65,4,Some Random Commen with Id 122
123,24,7,102,4,Some Random Commen with Id 123
124,24,7,155,6,Some Random Commen with Id 124
125,24,7,66,3,Some Random Commen with Id 125
126,25,6,115,2,Some Random Commen with Id 126
127,25,6,64,5,Some Random Commen with Id 127
128,26,9,182,4,Some Random Commen with Id 128
129,27,5,185,3,Some Random Commen with Id 129
130,27,5,118,7,Some Random Commen with Id 130
131,27,5,131,7,Some Random Commen with Id 131
132,27,5,53,4,Some Random Commen with Id 132
133,27,5,57,7,Some Random Commen with Id 133
134,27,5,3,0,Some Random Commen with Id 134
135,28,3,112,6,Some Random Commen with Id 135
136,28,3,2,8,Some Random Commen with Id 136
137,28,3,115,1,Some Random Commen with Id 137
138,28,3,53,2,Some Random Commen with Id 138
139,29,5,185,0,Some Random Commen with Id 139
140,29,5,114,8,Some Random Commen with Id 140
141,30,6,90,9,Some Random Commen with Id 141
142,30,6,117,3,Some Random Commen with Id 142
143,30,6,45,8,Some Random Commen with Id 143
144,30,6,126,0,Some Random Commen with Id 144
145,32,8,12,2,Some Random Commen with Id 145
146,33,0,189,1,Some Random Commen with Id 146
147,33,0,36,0,Some Random Commen with Id 147
148,33,0,112,1,Some Random Commen with Id 148
149,34,4,66,1,Some Random Commen with Id 149
150,34,4,150,3,Some Random Commen with Id 150
151,34,4,77,0,Some Random Commen with Id 151
152,34,4,1,4,Some Random Commen with Id 152
153,35,4,109,6,Some Random Commen with Id 153
154,35,4,25,3,Some Random Commen with Id 154
155,35,4,146,2,Some Random Commen with Id 155
156,35,4,16,6,Some Random Commen with Id 156
