match_number,location,created_at,status,home_team/country,home_team/code,home_team/goals,away_team/country,away_team/code,away_team/goals,winner,winner_code,home_team/penalties,away_team/penalties
1,Arena de Sao Paulo,1402603200000,completed,Brazil,BRA,3,Croatia,CRO,1,Brazil,BRA,,
2,Estadio das Dunas,1402675200000,completed,Mexico,MEX,1,Cameroon,CMR,0,Mexico,MEX,,
3,Arena Fonte Nova,1402686000000,completed,Spain,ESP,1,Netherlands,NED,5,Netherlands,NED,,
4,Arena Pantanal,1402696800000,completed,Chile,CHI,3,Australia,AUS,1,Chile,CHI,,
5,Estadio Mineirao,1402761600000,completed,Colombia,COL,3,Greece,GRE,0,Colombia,COL,,
6,Arena Pernambuco,1402794000000,completed,Ivory Coast,CIV,2,Japan,JPN,1,Ivory Coast,CIV,,
7,Estadio Castelao,1402772400000,completed,Uruguay,URU,1,Costa Rica,CRC,3,Costa Rica,CRC,,
8,Arena Amazonia,1402783200000,completed,England,ENG,1,Italy,ITA,2,Italy,ITA,,
9,Estadio Nacional,1402848000000,completed,Switzerland,SUI,2,Ecuador,ECU,1,Switzerland,SUI,,
10,Estadio Beira-Rio,1402858800000,completed,France,FRA,3,Honduras,HON,0,France,FRA,,
11,Estadio do Maracana,1402869600000,completed,Argentina,ARG,2,Bosnia and Herzegovina,BIH,1,Argentina,ARG,,
12,Arena da Baixada,1402945200000,completed,Iran,IRN,0,Nigeria,NGA,0,Draw,Draw,,
13,Arena Fonte Nova,1402934400000,completed,Germany,GER,4,Portugal,POR,0,Germany,GER,,
14,Estadio das Dunas,1402956000000,completed,Ghana,GHA,1,USA,USA,2,USA,USA,,
15,Estadio Mineirao,1403020800000,completed,Belgium,BEL,2,Algeria,ALG,1,Belgium,BEL,,
16,Arena Pantanal,1403042400000,completed,Russia,RUS,1,Korea Republic,KOR,1,Draw,Draw,,
17,Estadio Castelao,1403031600000,completed,Brazil,BRA,0,Mexico,MEX,0,Draw,Draw,,
18,Arena Amazonia,1403128800000,completed,Cameroon,CMR,0,Croatia,CRO,4,Croatia,CRO,,
19,Estadio do Maracana,1403118000000,completed,Spain,ESP,0,Chile,CHI,2,Chile,CHI,,
20,Estadio Beira-Rio,1403107200000,completed,Australia,AUS,2,Netherlands,NED,3,Netherlands,NED,,
21,Estadio Nacional,1403193600000,completed,Colombia,COL,2,Ivory Coast,CIV,1,Colombia,COL,,
22,Estadio das Dunas,1403215200000,completed,Japan,JPN,0,Greece,GRE,0,Draw,Draw,,
23,Arena de Sao Paulo,1403204400000,completed,Uruguay,URU,2,England,ENG,1,Uruguay,URU,,
24,Arena Pernambuco,1403280000000,completed,Italy,ITA,0,Costa Rica,CRC,1,Costa Rica,CRC,,
25,Arena Fonte Nova,1403290800000,completed,Switzerland,SUI,2,France,FRA,5,France,FRA,,
26,Arena da Baixada,1403301600000,completed,Honduras,HON,1,Ecuador,ECU,2,Ecuador,ECU,,
27,Estadio Mineirao,1403366400000,completed,Argentina,ARG,1,Iran,IRN,0,Argentina,ARG,,
28,Arena Pantanal,1403388000000,completed,Nigeria,NGA,1,Bosnia and Herzegovina,BIH,0,Nigeria,NGA,,
29,Estadio Castelao,1403377200000,completed,Germany,GER,2,Ghana,GHA,2,Draw,Draw,,
30,Arena Amazonia,1403474400000,completed,USA,USA,2,Portugal,POR,2,Draw,Draw,,
31,Estadio do Maracana,1403452800000,completed,Belgium,BEL,1,Russia,RUS,0,Belgium,BEL,,
32,Estadio Beira-Rio,1403463600000,completed,Korea Republic,KOR,2,Algeria,ALG,4,Algeria,ALG,,
33,Estadio Nacional,1403553600000,completed,Cameroon,CMR,1,Brazil,BRA,4,Brazil,BRA,,
34,Arena Pernambuco,1403553600000,completed,Croatia,CRO,1,Mexico,MEX,3,Mexico,MEX,,
35,Arena da Baixada,1403539200000,completed,Australia,AUS,0,Spain,ESP,3,Spain,ESP,,
36,Arena de Sao Paulo,1403539200000,completed,Netherlands,NED,2,Chile,CHI,0,Netherlands,NED,,
37,Arena Pantanal,1403640000000,completed,Japan,JPN,1,Colombia,COL,4,Colombia,COL,,
38,Estadio Castelao,1403640000000,completed,Greece,GRE,2,Ivory Coast,CIV,1,Greece,GRE,,
39,Estadio das Dunas,1403625600000,completed,Italy,ITA,0,Uruguay,URU,1,Uruguay,URU,,
40,Estadio Mineirao,1403625600000,completed,Costa Rica,CRC,0,England,ENG,0,Draw,Draw,,
41,Arena Amazonia,1403726400000,completed,Honduras,HON,0,Switzerland,SUI,3,Switzerland,SUI,,
42,Estadio do Maracana,1403726400000,completed,Ecuador,ECU,0,France,FRA,0,Draw,Draw,,
43,Estadio Beira-Rio,1403712000000,completed,Nigeria,NGA,2,Argentina,ARG,3,Argentina,ARG,,
44,Arena Fonte Nova,1403712000000,completed,Bosnia and Herzegovina,BIH,3,Iran,IRN,1,Bosnia and Herzegovina,BIH,,
45,Arena Pernambuco,1403798400000,completed,USA,USA,0,Germany,GER,1,Germany,GER,,
