No,pm2.5,DEWP,TEMP,PRES,Iws
1,29,-24,-13,1035,195.32
2,31,-26,-15,1035,198.45
3,30,-26,-17,1035,201.58
4,34,-26,-18,1035,205.6
5,27,-26,-19,1035,208.73
6,25,-27,-18,1035,213.65
7,28,-27,-19,1035,218.57
8,28,-27,-16,1034,4.92
9,27,-26,-16,1035,8.05
10,27,-27,-16,1034,13.86
11,27,-26,-16,1035,18.78
12,29,-26,-15,1035,24.59
13,36,-25,-14,1035,29.51
14,30,-25,-13,1035,34.43
15,27,-25,-12,1034,39.35
16,39,-24,-11,1032,41.14
17,41,-22,-11,1032,0.89
18,33,-23,-11,1031,1.79
19,50,-24,-11,1031,3.58
20,56,-23,-11,1031,5.37
21,59,-23,-11,1032,7.16
22,60,-22,-13,1033,10.29
23,84,-22,-12,1033,13.42
24,106,-24,-18,1033,16.55
25,66,-22,-13,1034,20.57
26,50,-22,-16,1033,23.7
27,56,-25,-17,1033,26.83
28,77,-25,-14,1033,4.02
29,50,-26,-14,1034,8.04
30,44,-26,-14,1033,13.85
31,27,-26,-14,1033,17.87
32,28,-26,-14,1033,23.68
33,21,-26,-14,1033,28.6
34,25,-26,-15,1034,33.52
35,20,-26,-14,1034,39.33
36,29,-25,-13,1035,44.25
37,34,-25,-12,1035,50.06
38,42,-24,-11,1035,54.98
39,28,-24,-10,1034,59
40,36,-22,-10,1033,4.02
41,48,-22,-9,1033,5.81
42,49,-22,-8,1033,0.89
43,52,-22,-8,1033,1.79
44,56,-21,-9,1033,3.58
45,96,-22,-9,1033,5.37
46,75,-22,-14,1034,0.89
47,105,-22,-12,1035,1.79
48,132,-21,-14,1034,3.58
49,93,-22,-16,1035,5.37
50,131,-21,-16,1035,7.16
51,127,-21,-16,1035,8.95
52,130,-21,-16,1035,0.45
53,43,-22,-18,1036,1.34
54,37,-23,-15,1036,4.02
55,30,-24,-16,1035,7.15
56,28,-25,-15,1035,10.28
57,24,-24,-15,1035,14.3
58,23,-25,-13,1036,4.92
59,24,-24,-14,1036,4.02
60,27,-23,-12,1036,8.94
61,40,-22,-11,1036,12.96
62,42,-20,-10,1036,16.09
63,42,-21,-9,1035,19.22
64,55,-21,-8,1034,21.01
65,52,-20,-7,1033,22.8
66,51,-20,-7,1032,24.59
67,57,-18,-8,1032,26.38
68,50,-19,-9,1032,28.17
69,54,-19,-11,1032,0.89
70,67,-18,-11,1033,1.79
71,106,-19,-15,1032,1.79
72,159,-19,-14,1032,0.45
73,198,-21,-14,1032,1.34
74,190,-21,-16,1032,2.23
75,210,-21,-17,1031,1.79
76,195,-19,-16,1031,3.58
77,275,-20,-16,1031,0.89
78,164,-19,-15,1030,0.89
79,110,-18,-15,1030,0.45
80,100,-18,-15,1029,1.34
81,81,-18,-15,1029,1.79
82,71,-16,-13,1029,0.89
83,66,-16,-12,1029,0.89
84,92,-16,-12,1030,1.78
85,135,-17,-10,1030,0.89
86,155,-16,-10,1029,0.89
87,198,-16,-9,1028,3.13
88,250,-15,-8,1026,4.92
89,200,-16,-8,1026,0.89
90,231,-16,-8,1025,1.78
91,250,-16,-8,1025,2.67
92,212,-17,-8,1025,0.89
93,219,-17,-9,1026,0.45
94,227,-17,-11,1026,1.34
95,226,-17,-12,1026,1.79
96,225,-18,-14,1027,1.79
97,168,-16,-9,1027,4.92
98,169,-16,-11,1027,6.71
99,165,-17,-13,1027,0.89
100,159,-17,-13,1027,3.13
101,167,-17,-14,1027,4.92
102,196,-17,-15,1027,8.05
103,169,-17,-13,1027,9.84
104,155,-19,-16,1027,13.86
105,119,-18,-15,1027,17.88
106,106,-19,-15,1027,21.9
107,93,-18,-14,1028,25.92
108,84,-18,-9,1029,5.81
109,73,-17,-7,1029,11.62
110,66,-17,-6,1030,17.43
111,40,-16,-6,1029,23.24
112,49,-16,-5,1029,28.16
113,50,-15,-4,1029,33.08
114,49,-14,-4,1028,37.1
115,41,-15,-4,1029,38.89
116,37,-15,-4,1030,1.79
117,45,-15,-7,1030,3.13
118,44,-15,-6,1031,3.13
119,54,-15,-7,1032,4.92
120,50,-15,-6,1032,3.13
121,47,-15,-8,1033,0.45
122,66,-15,-8,1033,0.9
123,75,-15,-11,1033,0.89
124,82,-17,-13,1033,1.78
125,66,-17,-12,1033,4.91
126,83,-17,-13,1033,8.04
127,62,-19,-14,1032,9.83
128,40,-18,-13,1032,12.96
129,23,-19,-13,1032,16.09
130,25,-19,-14,1033,19.22
131,27,-19,-14,1034,22.35
132,35,-17,-12,1033,24.14
133,50,-16,-7,1033,4.02
134,70,-15,-7,1033,3.13
135,75,-15,-7,1032,6.26
136,58,-14,-6,1031,9.39
